question,answer,category
What is the University of The Gambia?,The University of The Gambia (UTG) is the premier public institution of higher learning in The Gambia established to provide quality education and research.,General
When was UTG established?,The University of The Gambia was established by an Act of the National Assembly of The Gambia in March 1999.,General
What is the official motto of UTG?,"The motto of the University of The Gambia is ""Knowledge, Truth and Development"".",General
Where is the main administrative headquarters of UTG located?,The main administration is located at the Kanifing Campus on MDI Road in Kanifing.,General
What is the Vision of UTG?,The vision is to be the powerhouse for the transformation of The Gambia through the creation application and transfer of knowledge.,General
What is the Mission of UTG?,UTG is committed to advancing equitable and sustainable socio-economic development through high-quality teaching research and outreach.,General
Who is the current Vice Chancellor of UTG?,As of 2026 Professor Herbert Robinson serves as the Vice Chancellor of the University.,General
What are the main campuses of UTG?,"The university operates across several sites including Kanifing Campus, Faraba Banta Campus, Banjul Campus, and Brikama.",General
Is UTG a public or private university?,UTG is a public national university.,General
What is the Faraba Banta Campus?,It is the newly developed main campus of the university designed to consolidate various schools into a state-of-the-art facility.,General
What is the legal status of UTG?,UTG is an autonomous body corporate established under the University of The Gambia Act 1999.,General
Who is the Chancellor of the University?,The President of the Republic of The Gambia traditionally serves as the Chancellor of the University.,General
What is the role of the University Governing Council?,The Council is the supreme governing body responsible for the management and administration of the University's property and revenues.,General
How many academic schools does UTG currently have?,UTG comprises approximately 10 specialized schools and faculties offering diverse degree programs.,General
What is the School of Medicine and Allied Health Sciences (SMAHS)?,"It is the faculty responsible for training medical doctors, nurses, and public health professionals, primarily based in Banjul.",General
What is the official language of instruction at UTG?,English is the official language used for all teaching and examinations.,General
Does UTG have a Strategic Plan?,Yes the University follows a long-term strategic plan focusing on modernization and research excellence.,General
What is the "UnRead" media initiative?,It is a digital storytelling and branding project used by university students to share academic and social experiences.,General
Who is the current Registrar of UTG?,Dr. Momodou Lamin Tarro serves as the Registrar of the University.,General
What is the role of the University Senate?,The Senate is the chief academic authority responsible for the regulation of instruction and examination.,General
Does UTG offer postgraduate studies?,Yes the School of Graduate Studies and Research oversees various Master's and PhD programs.,General
What is the significance of the year 1999 for UTG?,It marks the year the university officially started offering courses following the National Assembly law.,General
What is the "Access Programme"?,It is a remedial bridge program designed to help students meet entry requirements for undergraduate degrees.,General
Are there international students at UTG?,Yes UTG hosts a growing number of international students particularly from the ECOWAS region.,General
What is the Alieu Badara Joof Library?,It is the main library facility at the Faraba Banta Campus named after the late former Vice President.,General
Does UTG have a Students' Union?,Yes the UTG Students' Union (UTGSU) represents the interests of the entire student body.,General
What is the University's color scheme?,The university's visual identity typically incorporates blue and gold representing knowledge and development.,General
How does UTG contribute to national development?,"Through its ""Service to Community"" pillar, UTG aligns its research and teaching with the National Development Plan (NDP).",General
Is UTG accredited?,Yes UTG is the national degree-awarding body and is recognized by regional and international accreditation agencies.,General
What is the School of Business and Public Administration (SBPA)?,"It is the largest academic unit at UTG, focusing on economics, management, and accountancy.",General
Where is the School of ICT located?,The School of Information and Communication Technology is primarily located at the Faraba Banta Campus.,General
What is the duration of most undergraduate programs?,Most Bachelor's degree programs at UTG are designed to be completed in four years (eight semesters).,General
Does UTG have a North Bank campus?,Yes UTG maintains a digital and physical presence in Farafenni to serve the North Bank Region.,General
What is the "Digital Campus"?,It refers to the university's initiative to integrate e-learning and online student management systems.,General
Who was the first Vice Chancellor of UTG?,Professor Donald Ekong served as the pioneer Vice Chancellor of the University.,General
Does UTG have a medical school campus in Banjul?,Yes the School of Medicine is located near the Edward Francis Small Teaching Hospital (EFSTH).,General
What is the role of the Deputy Vice Chancellor (DVC)?,"DVCs oversee specific areas such as Academic Affairs or Administration, Finance, and Planning.",General
How often are graduation ceremonies held?,UTG typically holds one major convocation ceremony annually.,General
What is the "Merdeka" curriculum influence?,"While specific to Indonesia, UTG observes similar learner-centered and competency-based curriculum reforms.",General
Does UTG collaborate with other universities?,Yes UTG has partnerships with several international institutions for research and student exchange.,General
What is the "Peace Garden"?,It is a designated outdoor study and relaxation area located at the Faraba Banta Campus.,General
